Thursday 20th of October 2022 03:40:53 PM
Compound:BC; emissions_ds_name:v6.1_EM_AP_m_2000-2018(edgar_release) ; Year:2018; Month:Oct; Source name:10; Process Group:ENE
lat;lon;emission 2018 (tons)
77.4;-69.4;3.74834e-3
76.4;-82.9;3.15801e-4
76.2;60.9;2.77425e-3
74.6;-95.0;2.07672e-3
74.0;56.0;4.72180e-3
73.0;-85.2;7.11278e-4
72.7;-56.2;3.69767e-3
72.6;-78.0;1.35813e-3
72.0;-125.6;5.05525e-4
71.9;114.0;1.25214e-3
71.2;-156.8;4.49850e-3
71.0;27.8;2.33441e-5
70.9;27.3;3.13640e-5
70.8;29.0;2.62810e-5
70.8;29.1;7.11619e-6
70.7;-117.8;1.35990e-3
70.7;26.0;2.32688e-5
70.6;-160.1;2.01520e-3
70.6;23.6;1.09203e-1
70.6;23.7;7.24797e-5
70.6;29.7;7.15385e-5
70.4;-157.4;1.68906e-3
70.4;-68.6;7.71104e-4
70.4;-22.0;3.91625e-3
70.3;31.0;1.54749e-5
70.3;31.1;1.92777e-5
70.2;-148.6;2.09755e-4
70.2;28.1;4.81190e-5
70.1;28.5;2.05202e-5
70.0;20.9;4.82320e-5
70.0;24.9;5.98664e-5
70.0;29.7;1.63447e-4
69.9;-152.7;4.04275e-4
69.9;23.2;2.12319e-4
69.9;23.3;2.95529e-4
69.9;23.4;5.05287e-5
69.9;25.0;2.51891e-5
69.7;18.8;5.70802e-5
69.7;18.9;5.54988e-5
69.7;19.0;8.78040e-5
69.7;19.1;4.18688e-5
69.7;19.6;4.00992e-5
69.7;20.9;3.69741e-5
69.7;21.0;4.54834e-5
69.7;30.0;6.18334e-5
69.7;170.3;4.18108e-2
69.6;-170.0;1.19104e-3
69.6;18.7;4.79308e-5
69.6;18.8;1.38634e-4
69.6;18.9;7.48556e-4
69.6;19.0;8.93854e-5
69.6;29.9;6.08830e-5
69.6;30.0;1.90179e-4
69.5;19.0;2.76741e-5
69.5;88.3;3.71394e-2
69.4;-133.1;2.90637e-3
69.4;-93.9;6.57687e-4
69.4;25.5;8.84818e-5
69.3;-124.0;9.30180e-4
69.3;16.0;2.22899e-5
69.3;16.1;7.13878e-5
69.3;88.2;2.64861e-1
69.3;139.9;5.64104e-3
69.2;-81.8;9.08694e-4
69.2;-51.2;2.51645e-2
69.2;17.9;2.82765e-5
69.2;18.0;1.08701e-4
69.2;18.1;2.26287e-5
69.1;-105.1;1.84064e-3
69.1;18.1;5.94146e-5
69.0;-160.2;2.14925e-3
69.0;23.0;6.60413e-5
69.0;64.0;8.68604e-2
68.9;15.0;1.06668e-4
68.9;17.1;1.94283e-5
68.9;33.0;3.91210e-2
68.8;-51.2;6.10173e-3
68.8;15.2;1.88636e-5
68.8;16.5;1.75646e-4
68.7;-152.2;1.31094e-3
68.7;-81.4;8.99852e-4
68.7;-52.9;3.75886e-2
68.7;15.4;1.02902e-4
68.7;16.5;3.30734e-4
68.7;151.9;2.41106e-4
68.6;-96.0;9.82790e-4
68.6;14.4;9.22470e-6
68.6;15.3;4.87968e-5
68.6;15.4;8.07255e-5
68.5;-143.8;4.59183e-4
68.5;-90.1;5.72697e-4
68.5;14.8;4.43162e-5
68.5;14.9;1.06329e-4
68.5;16.5;6.27656e-5
68.5;17.5;1.34643e-4
68.5;17.6;4.25089e-5
68.4;14.8;1.78846e-5
68.4;15.9;3.54680e-5
68.4;16.0;8.17044e-6
68.4;16.8;7.94453e-6
68.4;17.4;5.02652e-5
68.3;-166.8;1.25496e-5
68.3;-133.8;9.67670e-5
68.3;-53.5;3.13897e-3
68.3;14.4;2.05579e-5
68.3;16.8;1.90142e-5
68.3;17.5;1.17398e-4
68.3;17.6;1.86264e-4
68.3;77.1;3.49137e-1
68.2;-135.1;1.99918e-3
68.2;14.4;3.18911e-5
68.2;14.5;1.13784e-4
68.1;13.5;5.71931e-5
68.1;13.6;1.72784e-4
68.1;13.8;4.75542e-5
68.0;-162.9;2.66965e-4
68.0;-133.9;2.00449e-2
67.9;32.8;4.64187e-3
67.8;-115.3;1.02594e-3
67.6;-163.8;1.07645e-4
67.6;53.0;2.86100e-3
67.5;-163.0;1.43368e-4
67.5;-160.6;1.39252e-4
67.5;-139.9;5.30892e-4
67.5;33.4;2.79390e+0
67.5;64.0;4.67246e-1
67.5;133.3;8.16864e-4
67.4;-134.9;2.31396e-3
67.4;-133.8;2.28000e-4
67.3;14.3;2.59044e-5
67.3;14.4;8.47542e-5
67.3;14.7;6.92040e-5
67.2;14.3;1.59342e-4
67.2;14.4;6.57110e-4
67.2;14.5;2.84347e-4
67.2;14.6;2.74482e-5
67.2;14.7;5.64401e-5
67.2;15.3;1.30351e-4
67.2;15.4;2.71470e-5
67.1;15.4;8.62227e-6
67.0;-126.1;1.71509e-4
67.0;-50.7;1.87070e-3
67.0;15.3;1.71316e-5
67.0;15.4;2.45490e-5
66.9;-53.7;3.24274e-2
66.9;13.6;2.14615e-5
66.8;-162.6;4.77944e-5
66.8;-160.5;6.84408e-4
66.7;-157.0;1.22071e-4
66.7;169.5;2.28677e-2
66.6;66.4;1.02415e-3
66.5;-160.2;2.32949e-4
66.5;-145.4;9.16157e-4
66.5;-86.3;5.52299e-4
66.5;-18.1;3.62182e-4
66.5;12.0;1.89389e-5
66.5;66.6;1.14134e+0
66.4;-16.0;5.78319e-5
66.3;-179.2;1.22427e-2
66.3;14.1;5.70011e-4
66.3;14.2;8.22692e-5
66.2;-160.3;1.57399e-3
66.2;-128.7;1.89838e-3
66.2;13.6;2.19510e-5
66.1;-65.8;1.10136e-3
66.1;-23.3;3.67735e-5
66.1;-19.0;6.29655e-5
66.1;13.8;2.58668e-5
66.0;-23.2;2.76901e-4
66.0;-17.4;1.50447e-4
66.0;12.6;1.75345e-4
66.0;13.8;5.02275e-5
66.0;60.1;2.60531e-2
66.0;76.6;2.23971e-2
66.0;76.9;6.17711e-2
65.9;-18.6;5.46888e-5
65.9;-18.4;1.38922e-4
65.9;12.2;2.94814e-5
65.9;57.5;3.01119e-1
65.9;78.3;2.10130e-2
65.8;13.1;4.92862e-5
65.8;13.2;2.63262e-4
65.8;24.1;6.34283e-5
65.7;-19.7;2.98588e-4
65.7;-18.2;3.27400e-4
65.7;-14.9;5.42698e-5
65.7;23.7;2.43555e-2
65.6;-37.7;4.27624e-3
65.6;-18.2;9.32958e-4
65.6;-18.1;2.55738e-4
65.5;-18.2;6.39084e-5
65.5;-18.1;4.26405e-5
65.5;13.9;1.90142e-5
65.5;22.1;3.25782e-2
65.4;-53.0;1.58610e-2
65.4;-21.0;5.82509e-5
65.4;12.2;9.51461e-5
65.4;12.5;2.44737e-5
65.3;-126.8;3.35997e-5
65.3;21.4;3.88266e-2
65.3;28.9;2.42484e-1
65.2;-126.9;9.35480e-4
65.2;-14.5;1.51494e-4
65.2;-14.4;1.65428e-4
65.2;-14.1;6.40132e-5
65.1;-123.5;1.78962e-3
65.1;-13.8;8.98908e-5
65.1;-13.7;1.32427e-4
65.1;57.2;6.73808e-2
65.0;-165.2;1.23121e-4
65.0;-22.8;5.25935e-5
65.0;-14.3;1.24779e-4
65.0;25.4;1.77774e-2
65.0;35.7;9.50576e-4
64.9;-161.2;1.01928e-4
64.9;-125.6;1.65876e-3
64.9;-23.7;1.88582e-5
64.9;-23.3;7.98331e-5
64.9;76.6;3.64714e-2
64.9;77.7;1.72960e+0
64.8;-147.8;1.42830e-1
64.8;11.2;1.05538e-4
64.8;11.5;3.06862e-5
64.8;11.6;3.40372e-5
64.8;30.1;9.95437e-2
64.8;45.7;2.38243e-3
64.7;-157.0;2.11247e-5
64.7;-147.4;5.07575e-2
64.7;-141.3;3.21605e-6
64.7;177.4;5.73178e-2
64.6;-162.3;8.87186e-5
64.6;-147.1;4.32951e-3
64.6;24.4;2.58287e-1
64.5;-165.5;1.21155e-4
64.5;-110.6;1.06555e-2
64.5;-22.0;2.18755e-4
64.5;-21.9;6.42227e-5
64.5;12.0;2.66575e-5
64.5;39.8;2.95125e-1
64.5;40.5;1.15767e+0
64.5;143.2;6.25148e-5
64.4;-50.8;7.03717e-3
64.4;11.5;3.28512e-4
64.4;12.3;2.26287e-5
64.4;40.8;3.74941e-1
64.3;-96.1;1.27997e-3
64.3;-22.1;6.92830e-4
64.2;-76.6;9.38492e-4
64.2;-20.8;5.67842e-5
64.1;-117.4;7.78098e-4
64.1;-83.2;4.64117e-4
64.1;-51.8;7.08476e-2
64.1;-22.1;3.77269e-4
64.1;-22.0;3.03827e-3
64.1;-21.9;8.72035e-3
64.1;-21.8;3.08164e-3
64.1;-21.7;4.52702e-4
64.1;-20.4;8.39191e-5
64.1;28.4;3.49721e-4
64.0;-145.8;1.82535e-4
64.0;-139.5;1.52366e-3
64.0;-22.8;1.12102e-4
64.0;-22.7;1.81772e-4
64.0;-22.6;7.62291e-4
64.0;-22.1;8.77955e-5
64.0;-22.0;3.81271e-3
64.0;-21.9;9.21748e-4
64.0;-21.3;5.31173e-5
64.0;-21.2;1.34103e-4
64.0;11.4;2.20338e-4
64.0;11.5;2.33818e-4
64.0;24.4;4.66545e-3
63.9;-22.6;6.24102e-4
63.9;-22.4;1.39760e-4
63.9;-21.1;3.09694e-4
63.9;-21.0;3.94032e-4
63.9;10.2;2.09721e-5
63.8;-160.8;8.53146e-6
63.8;-149.0;1.18446e-1
63.8;-22.5;2.70720e-4
63.8;-21.4;1.99373e-4
63.8;-20.4;1.29284e-4
63.8;11.2;3.71623e-5
63.8;11.3;4.14923e-5
63.7;-171.8;1.47951e-4
63.7;-68.6;3.58694e-3
63.7;-20.3;1.80829e-4
63.7;8.8;6.96935e-5
63.7;9.8;6.80368e-5
63.7;11.1;2.97449e-5
63.7;11.2;6.89781e-5
63.7;11.3;6.86016e-5
63.7;11.4;1.65404e-4
63.7;11.5;1.19733e-5
63.7;34.3;1.41481e-3
63.7;124.9;2.01351e-4
63.6;-170.5;4.68417e-6
63.6;9.0;1.96919e-5
63.6;9.6;7.25927e-5
63.6;10.6;5.47457e-5
63.6;11.0;3.50162e-5
63.6;26.6;6.92496e-4
63.5;-161.0;3.30336e-4
63.5;-135.9;8.00052e-4
63.5;8.3;2.64316e-5
63.5;8.9;2.60174e-5
63.5;9.9;3.88943e-5
63.5;29.1;4.82013e-5
63.5;53.6;4.67567e-1
63.4;-162.3;1.14151e-4
63.4;-162.1;1.36123e-4
63.4;-20.3;2.83711e-4
63.4;8.6;1.92024e-5
63.4;8.7;1.96919e-5
63.4;10.3;2.07175e-3
63.4;10.4;2.36182e-3
63.4;10.5;4.22303e-4
63.4;10.6;1.00003e-4
63.4;10.7;1.51247e-4
