Thursday 20th of October 2022 03:40:58 PM
Compound:BC; emissions_ds_name:v6.1_EM_AP_m_2000-2018(edgar_release) ; Year:2018; Month:Nov; Source name:10; Process Group:ENE
lat;lon;emission 2018 (tons)
77.4;-69.4;3.07658e-3
76.4;-82.9;3.49064e-4
76.2;60.9;2.51125e-3
74.6;-95.0;2.29546e-3
74.0;56.0;5.18855e-3
73.0;-85.2;7.86196e-4
72.7;-56.2;3.03499e-3
72.6;-78.0;1.50118e-3
72.0;-125.6;5.58771e-4
71.9;114.0;1.37592e-3
71.2;-156.8;5.00737e-3
71.0;27.8;1.88089e-5
70.9;27.3;2.52706e-5
70.8;29.0;2.11752e-5
70.8;29.1;5.73368e-6
70.7;-117.8;1.50314e-3
70.7;26.0;1.87482e-5
70.6;-160.1;2.19169e-3
70.6;23.6;1.08160e-1
70.6;23.7;5.83985e-5
70.6;29.7;5.76401e-5
70.4;-157.4;1.83699e-3
70.4;-68.6;8.52322e-4
70.4;-22.0;3.21439e-3
70.3;31.0;1.24685e-5
70.3;31.1;1.55325e-5
70.2;-148.6;2.21892e-4
70.2;28.1;3.87706e-5
70.1;28.5;1.65336e-5
70.0;20.9;3.88616e-5
70.0;24.9;4.82357e-5
70.0;29.7;1.31693e-4
69.9;-152.7;4.50006e-4
69.9;23.2;1.71070e-4
69.9;23.3;2.38114e-4
69.9;23.4;4.07121e-5
69.9;25.0;2.02954e-5
69.7;18.8;4.59907e-5
69.7;18.9;4.47166e-5
69.7;19.0;7.07457e-5
69.7;19.1;3.37346e-5
69.7;19.6;3.23088e-5
69.7;20.9;2.97908e-5
69.7;21.0;3.66470e-5
69.7;30.0;5.65454e-5
69.7;170.3;4.59438e-2
69.6;-170.0;1.29535e-3
69.6;18.7;3.86189e-5
69.6;18.8;1.11700e-4
69.6;18.9;6.03128e-4
69.6;19.0;7.20198e-5
69.6;29.9;4.90548e-5
69.6;30.0;1.53232e-4
69.5;19.0;2.22976e-5
69.5;88.3;3.36185e-2
69.4;-133.1;3.21249e-3
69.4;-93.9;7.26960e-4
69.4;25.5;7.12917e-5
69.3;-124.0;1.02815e-3
69.3;16.0;1.79594e-5
69.3;16.1;5.75188e-5
69.3;88.2;3.05508e-1
69.3;139.9;6.19865e-3
69.2;-81.8;1.00441e-3
69.2;-51.2;2.06547e-2
69.2;17.9;2.27830e-5
69.2;18.0;8.75826e-5
69.2;18.1;1.82325e-5
69.1;-105.1;2.03451e-3
69.1;18.1;4.78716e-5
69.0;-160.2;2.33748e-3
69.0;23.0;5.32109e-5
69.0;64.0;9.54465e-2
68.9;15.0;8.59445e-5
68.9;17.1;1.56538e-5
68.9;33.0;4.29881e-2
68.8;-51.2;5.00820e-3
68.8;15.2;1.51988e-5
68.8;16.5;1.41522e-4
68.7;-152.2;1.42575e-3
68.7;-81.4;9.94632e-4
68.7;-52.9;3.08521e-2
68.7;15.4;8.29108e-5
68.7;16.5;2.66479e-4
68.7;151.9;2.64939e-4
68.6;-96.0;1.08631e-3
68.6;14.4;7.43254e-6
68.6;15.3;3.93166e-5
68.6;15.4;6.50423e-5
68.5;-143.8;5.11126e-4
68.5;-90.1;6.33019e-4
68.5;14.8;3.57065e-5
68.5;14.9;8.56714e-5
68.5;16.5;5.05716e-5
68.5;17.5;1.08485e-4
68.5;17.6;3.42504e-5
68.4;14.8;1.44100e-5
68.4;15.9;2.85774e-5
68.4;16.0;6.58311e-6
68.4;16.8;6.40109e-6
68.4;17.4;4.04998e-5
68.3;-166.8;1.32757e-5
68.3;-133.8;1.06959e-4
68.3;-53.5;2.57642e-3
68.3;14.4;1.65640e-5
68.3;16.8;1.53201e-5
68.3;17.5;9.45905e-5
68.3;17.6;1.50077e-4
68.3;77.1;3.70217e-1
68.2;-135.1;2.20975e-3
68.2;14.4;2.56954e-5
68.2;14.5;9.16781e-5
68.1;13.5;4.60818e-5
68.1;13.6;1.39216e-4
68.1;13.8;3.83155e-5
68.0;-162.9;2.82412e-4
68.0;-133.9;2.21561e-2
67.9;32.8;4.20181e-3
67.8;-115.3;1.13400e-3
67.6;-163.8;1.19822e-4
67.6;53.0;3.14381e-3
67.5;-163.0;1.59585e-4
67.5;-160.6;1.55004e-4
67.5;-139.9;5.86810e-4
67.5;33.4;2.91101e+0
67.5;64.0;5.13141e-1
67.5;133.3;8.97611e-4
67.4;-134.9;2.55768e-3
67.4;-133.8;2.52015e-4
67.3;14.3;2.08718e-5
67.3;14.4;6.82884e-5
67.3;14.7;5.57592e-5
67.2;14.3;1.28386e-4
67.2;14.4;5.31792e-4
67.2;14.5;2.29104e-4
67.2;14.6;2.21156e-5
67.2;14.7;4.54750e-5
67.2;15.3;1.05026e-4
67.2;15.4;2.18729e-5
67.1;15.4;6.94715e-6
67.0;-126.1;1.89573e-4
67.0;-50.7;1.53544e-3
67.0;15.3;1.38033e-5
67.0;15.4;1.97797e-5
66.9;-53.7;2.66159e-2
66.9;13.6;1.72920e-5
66.8;-162.6;5.05598e-5
66.8;-160.5;7.44350e-4
66.7;-157.0;1.35880e-4
66.7;169.5;2.51282e-2
66.6;66.4;9.27062e-4
66.5;-160.2;2.59300e-4
66.5;-145.4;9.96396e-4
66.5;-86.3;6.10472e-4
66.5;-18.1;1.34386e-4
66.5;12.0;1.52595e-5
66.5;66.6;1.18321e+0
66.4;-16.0;2.14582e-5
66.3;-179.2;1.34529e-2
66.3;14.1;4.59270e-4
66.3;14.2;6.62861e-5
66.2;-160.3;1.75204e-3
66.2;-128.7;2.09833e-3
66.2;13.6;1.76864e-5
66.1;-65.8;1.21737e-3
66.1;-23.3;1.36446e-5
66.1;-19.0;2.33630e-5
66.1;13.8;2.08415e-5
66.0;-23.2;1.02743e-4
66.0;-17.4;5.58225e-5
66.0;12.6;1.41279e-4
66.0;13.8;4.04694e-5
66.0;60.1;2.86285e-2
66.0;76.6;2.58342e-2
66.0;76.9;7.12506e-2
65.9;-18.6;2.02920e-5
65.9;-18.4;5.15464e-5
65.9;12.2;2.37538e-5
65.9;57.5;3.12761e-1
65.9;78.3;1.90210e-2
65.8;13.1;3.97110e-5
65.8;13.2;2.12116e-4
65.8;24.1;7.32727e-5
65.7;-19.7;1.10790e-4
65.7;-18.2;1.21480e-4
65.7;-14.9;2.01365e-5
65.7;23.7;2.73921e-2
65.6;-37.7;3.50987e-3
65.6;-18.2;3.46169e-4
65.6;-18.1;9.48905e-5
65.5;-18.2;2.37129e-5
65.5;-18.1;1.58216e-5
65.5;13.9;1.53201e-5
65.5;22.1;3.74451e-2
65.4;-53.0;1.30184e-2
65.4;-21.0;2.16137e-5
65.4;12.2;7.66614e-5
65.4;12.5;1.97190e-5
65.3;-126.8;3.71387e-5
65.3;21.4;4.36675e-2
65.3;28.9;2.67639e-1
65.2;-126.9;9.60001e-4
65.2;-14.5;5.62112e-5
65.2;-14.4;6.13814e-5
65.2;-14.1;2.37518e-5
65.1;-123.5;1.97812e-3
65.1;-13.8;3.33535e-5
65.1;-13.7;4.91362e-5
65.1;57.2;6.09931e-2
65.0;-165.2;1.37048e-4
65.0;-22.8;1.95145e-5
65.0;-14.3;4.62985e-5
