Thursday 20th of October 2022 03:41:03 PM
Compound:BC; emissions_ds_name:v6.1_EM_AP_m_2000-2018(edgar_release) ; Year:2018; Month:Dec; Source name:10; Process Group:ENE
lat;lon;emission 2018 (tons)
77.4;-69.4;3.04906e-3
76.4;-82.9;3.59514e-4
76.2;60.9;2.79413e-3
74.6;-95.0;2.36418e-3
74.0;56.0;5.18744e-3
73.0;-85.2;8.09733e-4
72.7;-56.2;3.00784e-3
72.6;-78.0;1.54613e-3
72.0;-125.6;5.75499e-4
71.9;114.0;1.37562e-3
71.2;-156.8;5.88324e-3
71.0;27.8;1.87313e-5
70.9;27.3;2.51664e-5
70.8;29.0;2.10878e-5
70.8;29.1;5.71002e-6
70.7;-117.8;1.54814e-3
70.7;26.0;1.86709e-5
70.6;-160.1;2.11599e-3
70.6;23.6;1.10201e-1
70.6;23.7;5.81576e-5
70.6;29.7;5.74023e-5
70.4;-157.4;1.77355e-3
70.4;-68.6;8.77839e-4
70.4;-22.0;3.18564e-3
70.3;31.0;1.24170e-5
70.3;31.1;1.54684e-5
70.2;-148.6;2.46764e-4
70.2;28.1;3.86106e-5
70.1;28.5;1.64654e-5
70.0;20.9;3.87012e-5
70.0;24.9;4.80367e-5
70.0;29.7;1.31149e-4
69.9;-152.7;5.28720e-4
69.9;23.2;1.70364e-4
69.9;23.3;2.37132e-4
69.9;23.4;4.05442e-5
69.9;25.0;2.02117e-5
69.7;18.8;4.58010e-5
69.7;18.9;4.45321e-5
69.7;19.0;7.04538e-5
69.7;19.1;3.35955e-5
69.7;19.6;3.21755e-5
69.7;20.9;2.96679e-5
69.7;21.0;3.64958e-5
69.7;30.0;5.71382e-5
69.7;170.3;4.59340e-2
69.6;-170.0;1.25061e-3
69.6;18.7;3.84595e-5
69.6;18.8;1.11240e-4
69.6;18.9;6.00640e-4
69.6;19.0;7.17227e-5
69.6;29.9;4.88524e-5
69.6;30.0;1.52599e-4
69.5;19.0;2.22056e-5
69.5;88.3;3.74054e-2
69.4;-133.1;3.30867e-3
69.4;-93.9;7.48723e-4
69.4;25.5;7.09976e-5
69.3;-124.0;1.05893e-3
69.3;16.0;1.78853e-5
69.3;16.1;5.72815e-5
69.3;88.2;3.25833e-1
69.3;139.9;6.19733e-3
69.2;-81.8;1.03447e-3
69.2;-51.2;2.04699e-2
69.2;17.9;2.26890e-5
69.2;18.0;8.72213e-5
69.2;18.1;1.81573e-5
69.1;-105.1;2.09542e-3
69.1;18.1;4.76741e-5
69.0;-160.2;2.25675e-3
69.0;23.0;5.29914e-5
69.0;64.0;9.54262e-2
68.9;15.0;8.55899e-5
68.9;17.1;1.55893e-5
68.9;33.0;4.29790e-2
68.8;-51.2;4.96341e-3
68.8;15.2;1.51361e-5
68.8;16.5;1.40938e-4
68.7;-152.2;1.37650e-3
68.7;-81.4;1.02441e-3
68.7;-52.9;3.05762e-2
68.7;15.4;8.25687e-5
68.7;16.5;2.65380e-4
68.7;151.9;2.64883e-4
68.6;-96.0;1.11883e-3
68.6;14.4;7.40188e-6
68.6;15.3;3.91544e-5
68.6;15.4;6.47740e-5
68.5;-143.8;6.00531e-4
68.5;-90.1;6.51970e-4
68.5;14.8;3.55592e-5
68.5;14.9;8.53179e-5
68.5;16.5;5.03630e-5
68.5;17.5;1.08037e-4
68.5;17.6;3.41091e-5
68.4;14.8;1.43506e-5
68.4;15.9;2.84595e-5
68.4;16.0;6.55595e-6
68.4;16.8;6.37468e-6
68.4;17.4;4.03327e-5
68.3;-166.8;1.47638e-5
68.3;-133.8;1.10161e-4
68.3;-53.5;2.55337e-3
68.3;14.4;1.64956e-5
68.3;16.8;1.52569e-5
68.3;17.5;9.42002e-5
68.3;17.6;1.49457e-4
68.3;77.1;3.91094e-1
68.2;-135.1;2.27590e-3
68.2;14.4;2.55893e-5
68.2;14.5;9.12999e-5
68.1;13.5;4.58916e-5
68.1;13.6;1.38642e-4
68.1;13.8;3.81574e-5
68.0;-162.9;3.14068e-4
68.0;-133.9;2.28194e-2
67.9;32.8;4.67512e-3
67.8;-115.3;1.16795e-3
67.6;-163.8;1.40781e-4
67.6;53.0;3.14314e-3
67.5;-163.0;1.87499e-4
67.5;-160.6;1.82117e-4
67.5;-139.9;6.04378e-4
67.5;33.4;3.04570e+0
67.5;64.0;5.13186e-1
67.5;133.3;8.97420e-4
67.4;-134.9;2.63425e-3
67.4;-133.8;2.59560e-4
67.3;14.3;2.07857e-5
67.3;14.4;6.80066e-5
67.3;14.7;5.55292e-5
67.2;14.3;1.27856e-4
67.2;14.4;5.29887e-4
67.2;14.5;2.28159e-4
67.2;14.6;2.20244e-5
67.2;14.7;4.52874e-5
67.2;15.3;1.04593e-4
67.2;15.4;2.17827e-5
67.1;15.4;6.91849e-6
67.0;-126.1;1.95249e-4
67.0;-50.7;1.52171e-3
67.0;15.3;1.37463e-5
67.0;15.4;1.96981e-5
66.9;-53.7;2.63778e-2
66.9;13.6;1.72207e-5
66.8;-162.6;5.62272e-5
66.8;-160.5;7.18640e-4
66.7;-157.0;1.59648e-4
66.7;169.5;2.51228e-2
66.6;66.4;1.03149e-3
66.5;-160.2;3.04656e-4
66.5;-145.4;9.61981e-4
66.5;-86.3;6.28747e-4
66.5;-18.1;9.45828e-5
66.5;12.0;1.51965e-5
66.5;66.6;1.24331e+0
66.4;-16.0;1.51026e-5
66.3;-179.2;1.34500e-2
66.3;14.1;4.57375e-4
66.3;14.2;6.60126e-5
66.2;-160.3;2.05850e-3
66.2;-128.7;2.16115e-3
66.2;13.6;1.76134e-5
66.1;-65.8;1.25381e-3
66.1;-23.3;9.60328e-6
66.1;-19.0;1.64432e-5
66.1;13.8;2.07555e-5
66.0;-23.2;7.23119e-5
66.0;-17.4;3.92887e-5
66.0;12.6;1.40696e-4
66.0;13.8;4.03025e-5
66.0;60.1;2.86224e-2
66.0;76.6;2.75529e-2
66.0;76.9;7.59908e-2
65.9;-18.6;1.42818e-5
65.9;-18.4;3.62791e-5
65.9;12.2;2.36558e-5
65.9;57.5;3.29577e-1
65.9;78.3;2.11635e-2
65.8;13.1;3.95472e-5
65.8;13.2;2.11240e-4
65.8;24.1;8.32661e-5
65.7;-19.7;7.79754e-5
65.7;-18.2;8.54993e-5
65.7;-14.9;1.41724e-5
65.7;23.7;3.40706e-2
65.6;-37.7;3.47847e-3
65.6;-18.2;2.43639e-4
65.6;-18.1;6.67852e-5
65.5;-18.2;1.66895e-5
65.5;-18.1;1.11354e-5
