Thursday 20th of October 2022 03:40:07 PM
Compound:BC; emissions_ds_name:v6.1_EM_AP_m_2000-2018(edgar_release) ; Year:2018; Month:Jan; Source name:10; Process Group:ENE
lat;lon;emission 2018 (tons)
77.4;-69.4;3.25691e-3
76.4;-82.9;3.81173e-4
76.2;60.9;3.10124e-3
74.6;-95.0;2.50661e-3
74.0;56.0;5.82659e-3
73.0;-85.2;8.58515e-4
72.7;-56.2;3.21288e-3
72.6;-78.0;1.63927e-3
72.0;-125.6;6.10170e-4
71.9;114.0;1.54512e-3
71.2;-156.8;8.42557e-3
71.0;27.8;2.11813e-5
70.9;27.3;2.84581e-5
70.8;29.0;2.38460e-5
70.8;29.1;6.45687e-6
70.7;-117.8;1.64141e-3
70.7;26.0;2.11129e-5
70.6;-160.1;2.59152e-3
70.6;23.6;1.10343e-1
70.6;23.7;6.57644e-5
70.6;29.7;6.49103e-5
70.4;-157.4;2.17212e-3
70.4;-68.6;9.30724e-4
70.4;-22.0;3.40280e-3
70.3;31.0;1.40411e-5
70.3;31.1;1.74916e-5
70.2;-148.6;2.43146e-4
70.2;28.1;4.36607e-5
70.1;28.5;1.86190e-5
70.0;20.9;4.37632e-5
70.0;24.9;5.43197e-5
70.0;29.7;1.48303e-4
69.9;-152.7;7.57195e-4
69.9;23.2;1.92647e-4
69.9;23.3;2.68148e-4
69.9;23.4;4.58472e-5
69.9;25.0;2.28553e-5
69.7;18.8;5.17916e-5
69.7;18.9;5.03568e-5
69.7;19.0;7.96689e-5
69.7;19.1;3.79896e-5
69.7;19.6;3.63840e-5
69.7;20.9;3.35484e-5
69.7;21.0;4.12693e-5
69.7;30.0;5.98344e-5
69.7;170.3;5.15936e-2
69.6;-170.0;1.53166e-3
69.6;18.7;4.34899e-5
69.6;18.8;1.25789e-4
69.6;18.9;6.79201e-4
69.6;19.0;8.11038e-5
69.6;29.9;5.52421e-5
69.6;30.0;1.72559e-4
69.5;19.0;2.51101e-5
69.5;88.3;4.15168e-2
69.4;-133.1;3.50800e-3
69.4;-93.9;7.93830e-4
69.4;25.5;8.02838e-5
69.3;-124.0;1.12273e-3
69.3;16.0;2.02247e-5
69.3;16.1;6.47737e-5
69.3;88.2;4.34233e-1
69.3;139.9;6.96092e-3
69.2;-81.8;1.09680e-3
69.2;-51.2;2.18653e-2
69.2;17.9;2.56567e-5
69.2;18.0;9.86296e-5
69.2;18.1;2.05322e-5
69.1;-105.1;2.22166e-3
69.1;18.1;5.39097e-5
69.0;-160.2;2.76391e-3
69.0;23.0;5.99225e-5
69.0;64.0;1.07184e-1
68.9;15.0;9.67847e-5
68.9;17.1;1.76283e-5
68.9;33.0;4.82745e-2
68.8;-51.2;5.30176e-3
68.8;15.2;1.71158e-5
68.8;16.5;1.59372e-4
68.7;-152.2;1.68585e-3
68.7;-81.4;1.08612e-3
68.7;-52.9;3.26605e-2
68.7;15.4;9.33684e-5
68.7;16.5;3.00091e-4
68.7;151.9;2.97519e-4
68.6;-96.0;1.18623e-3
