Thursday 20th of October 2022 03:40:12 PM
Compound:BC; emissions_ds_name:v6.1_EM_AP_m_2000-2018(edgar_release) ; Year:2018; Month:Feb; Source name:10; Process Group:ENE
lat;lon;emission 2018 (tons)
77.4;-69.4;2.99811e-3
76.4;-82.9;3.89700e-4
76.2;60.9;2.85513e-3
74.6;-95.0;2.56268e-3
74.0;56.0;5.73744e-3
73.0;-85.2;8.77720e-4
72.7;-56.2;2.95758e-3
72.6;-78.0;1.67594e-3
72.0;-125.6;6.23819e-4
71.9;114.0;1.52148e-3
71.2;-156.8;4.58813e-3
71.0;27.8;1.89506e-5
70.9;27.3;2.54610e-5
70.8;29.0;2.13347e-5
70.8;29.1;5.77687e-6
70.7;-117.8;1.67812e-3
70.7;26.0;1.88894e-5
70.6;-160.1;2.15989e-3
70.6;23.6;1.05208e-1
70.6;23.7;5.88385e-5
70.6;29.7;5.80744e-5
70.4;-157.4;1.81034e-3
70.4;-68.6;9.51544e-4
70.4;-22.0;3.13241e-3
70.3;31.0;1.25624e-5
70.3;31.1;1.56495e-5
70.2;-148.6;2.08825e-4
70.2;28.1;3.90626e-5
70.1;28.5;1.66582e-5
70.0;20.9;3.91543e-5
70.0;24.9;4.85991e-5
70.0;29.7;1.32685e-4
69.9;-152.7;4.12330e-4
69.9;23.2;1.72359e-4
69.9;23.3;2.39908e-4
69.9;23.4;4.10188e-5
69.9;25.0;2.04483e-5
69.7;18.8;4.63372e-5
69.7;18.9;4.50535e-5
69.7;19.0;7.12786e-5
69.7;19.1;3.39888e-5
69.7;19.6;3.25522e-5
69.7;20.9;3.00153e-5
69.7;21.0;3.69231e-5
69.7;30.0;5.57035e-5
69.7;170.3;5.08042e-2
69.6;-170.0;1.27655e-3
69.6;18.7;3.89098e-5
69.6;18.8;1.12542e-4
69.6;18.9;6.07672e-4
69.6;19.0;7.25624e-5
69.6;29.9;4.94243e-5
69.6;30.0;1.54386e-4
69.5;19.0;2.24656e-5
69.5;88.3;3.82220e-2
69.4;-133.1;3.58647e-3
69.4;-93.9;8.11587e-4
69.4;25.5;7.18288e-5
69.3;-124.0;1.14784e-3
69.3;16.0;1.80947e-5
69.3;16.1;5.79521e-5
69.3;88.2;3.80494e-1
69.3;139.9;6.85441e-3
69.2;-81.8;1.12133e-3
69.2;-51.2;2.01279e-2
69.2;17.9;2.29547e-5
69.2;18.0;8.82424e-5
69.2;18.1;1.83698e-5
69.1;-105.1;2.27136e-3
69.1;18.1;4.82323e-5
69.0;-160.2;2.30356e-3
69.0;23.0;5.36118e-5
69.0;64.0;1.05544e-1
68.9;15.0;8.65919e-5
68.9;17.1;1.57718e-5
68.9;33.0;4.75358e-2
68.8;-51.2;4.88047e-3
68.8;15.2;1.53133e-5
68.8;16.5;1.42588e-4
68.7;-152.2;1.40506e-3
68.7;-81.4;1.11042e-3
68.7;-52.9;3.00652e-2
68.7;15.4;8.35354e-5
68.7;16.5;2.68487e-4
68.7;151.9;2.92967e-4
68.6;-96.0;1.21277e-3
68.6;14.4;7.48853e-6
68.6;15.3;3.96128e-5
68.6;15.4;6.55323e-5
68.5;-143.8;4.68333e-4
68.5;-90.1;7.06710e-4
68.5;14.8;3.59755e-5
68.5;14.9;8.63168e-5
68.5;16.5;5.09526e-5
68.5;17.5;1.09302e-4
68.5;17.6;3.45084e-5
68.4;14.8;1.45186e-5
68.4;15.9;2.87927e-5
68.4;16.0;6.63270e-6
68.4;16.8;6.44931e-6
68.4;17.4;4.08049e-5
68.3;-166.8;1.24939e-5
68.3;-133.8;1.19411e-4
68.3;-53.5;2.51070e-3
68.3;14.4;1.66887e-5
68.3;16.8;1.54356e-5
68.3;17.5;9.53031e-5
68.3;17.6;1.51207e-4
68.3;77.1;4.27525e-1
68.2;-135.1;2.46699e-3
68.2;14.4;2.58889e-5
68.2;14.5;9.23688e-5
68.1;13.5;4.64289e-5
68.1;13.6;1.40265e-4
68.1;13.8;3.86042e-5
68.0;-162.9;2.65781e-4
68.0;-133.9;2.47354e-2
67.9;32.8;4.77718e-3
67.8;-115.3;1.26601e-3
67.6;-163.8;1.09790e-4
67.6;53.0;3.47640e-3
67.5;-163.0;1.46224e-4
67.5;-160.6;1.42026e-4
67.5;-139.9;6.55123e-4
67.5;33.4;3.27039e+0
67.5;64.0;5.67469e-1
67.5;133.3;9.92569e-4
67.4;-134.9;2.85543e-3
67.4;-133.8;2.81353e-4
67.3;14.3;2.10290e-5
67.3;14.4;6.88028e-5
67.3;14.7;5.61793e-5
67.2;14.3;1.29353e-4
67.2;14.4;5.35361e-4
67.2;14.5;2.30830e-4
67.2;14.6;2.22822e-5
67.2;14.7;4.58176e-5
67.2;15.3;1.05818e-4
67.2;15.4;2.20377e-5
67.1;15.4;6.99949e-6
67.0;-126.1;2.11642e-4
67.0;-50.7;1.49628e-3
67.0;15.3;1.39073e-5
67.0;15.4;1.99287e-5
66.9;-53.7;2.59371e-2
66.9;13.6;1.74223e-5
66.8;-162.6;4.75824e-5
66.8;-160.5;7.33549e-4
66.7;-157.0;1.24504e-4
66.7;169.5;2.77865e-2
66.6;66.4;1.05401e-3
66.5;-160.2;2.37590e-4
66.5;-145.4;9.81937e-4
66.5;-86.3;6.81538e-4
66.5;-18.1;2.27615e-4
66.5;12.0;1.53744e-5
66.5;66.6;1.33132e+0
66.4;-16.0;3.63447e-5
66.3;-179.2;1.48760e-2
66.3;14.1;4.62730e-4
66.3;14.2;6.67855e-5
66.2;-160.3;1.60535e-3
66.2;-128.7;2.34261e-3
66.2;13.6;1.78197e-5
66.1;-65.8;1.35908e-3
66.1;-23.3;2.31105e-5
66.1;-19.0;3.95709e-5
66.1;13.8;2.09985e-5
66.0;-23.2;1.74020e-4
66.0;-17.4;9.45488e-5
66.0;12.6;1.42343e-4
66.0;13.8;4.07743e-5
66.0;60.1;3.16571e-2
66.0;76.6;3.21752e-2
66.0;76.9;8.87390e-2
65.9;-18.6;3.43694e-5
65.9;-18.4;8.73062e-5
65.9;12.2;2.39327e-5
65.9;57.5;3.53831e-1
65.9;78.3;2.16256e-2
65.8;13.1;4.00102e-5
65.8;13.2;2.13714e-4
65.8;24.1;9.82080e-5
65.7;-19.7;1.87649e-4
