Thursday 20th of October 2022 03:40:17 PM
Compound:BC; emissions_ds_name:v6.1_EM_AP_m_2000-2018(edgar_release) ; Year:2018; Month:Mar; Source name:10; Process Group:ENE
lat;lon;emission 2018 (tons)
77.4;-69.4;2.93067e-3
76.4;-82.9;3.54278e-4
76.2;60.9;2.69862e-3
74.6;-95.0;2.32975e-3
74.0;56.0;5.25090e-3
73.0;-85.2;7.97938e-4
72.7;-56.2;2.89104e-3
72.6;-78.0;1.52360e-3
72.0;-125.6;5.67116e-4
71.9;114.0;1.39245e-3
71.2;-156.8;4.25327e-3
71.0;27.8;1.86399e-5
70.9;27.3;2.50436e-5
70.8;29.0;2.09849e-5
70.8;29.1;5.68215e-6
70.7;-117.8;1.52559e-3
70.7;26.0;1.85797e-5
70.6;-160.1;2.05328e-3
70.6;23.6;1.12842e-1
70.6;23.7;5.78738e-5
70.6;29.7;5.71222e-5
70.4;-157.4;1.72099e-3
70.4;-68.6;8.65052e-4
70.4;-22.0;3.06194e-3
70.3;31.0;1.23564e-5
70.3;31.1;1.53929e-5
70.2;-148.6;2.16392e-4
70.2;28.1;3.84222e-5
70.1;28.5;1.63850e-5
70.0;20.9;3.85124e-5
70.0;24.9;4.78022e-5
70.0;29.7;1.30509e-4
69.9;-152.7;3.82236e-4
69.9;23.2;1.69533e-4
69.9;23.3;2.35975e-4
69.9;23.4;4.03463e-5
69.9;25.0;2.01130e-5
69.7;18.8;4.55775e-5
69.7;18.9;4.43148e-5
69.7;19.0;7.01100e-5
69.7;19.1;3.34315e-5
69.7;19.6;3.20185e-5
69.7;20.9;2.95231e-5
69.7;21.0;3.63177e-5
69.7;30.0;5.79045e-5
69.7;170.3;4.64959e-2
69.6;-170.0;1.21355e-3
69.6;18.7;3.82719e-5
69.6;18.8;1.10697e-4
69.6;18.9;5.97708e-4
69.6;19.0;7.13727e-5
69.6;29.9;4.86140e-5
69.6;30.0;1.51855e-4
69.5;19.0;2.20973e-5
69.5;88.3;3.61269e-2
69.4;-133.1;3.26047e-3
69.4;-93.9;7.37817e-4
