Thursday 20th of October 2022 03:40:22 PM
Compound:BC; emissions_ds_name:v6.1_EM_AP_m_2000-2018(edgar_release) ; Year:2018; Month:Apr; Source name:10; Process Group:ENE
lat;lon;emission 2018 (tons)
77.4;-69.4;3.16468e-3
76.4;-82.9;3.14322e-4
76.2;60.9;2.42406e-3
74.6;-95.0;2.06700e-3
74.0;56.0;4.68487e-3
73.0;-85.2;7.07946e-4
72.7;-56.2;3.12190e-3
72.6;-78.0;1.35177e-3
72.0;-125.6;5.03157e-4
71.9;114.0;1.24235e-3
71.2;-156.8;3.76755e-3
71.0;27.8;1.99660e-5
70.9;27.3;2.68253e-5
70.8;29.0;2.24779e-5
70.8;29.1;6.08641e-6
70.7;-117.8;1.35353e-3
70.7;26.0;1.99016e-5
70.6;-160.1;1.53981e-3
70.6;23.6;1.08080e-1
70.6;23.7;6.19912e-5
70.6;29.7;6.11861e-5
70.4;-157.4;1.29061e-3
70.4;-68.6;7.67491e-4
70.4;-22.0;3.30644e-3
70.3;31.0;1.32355e-5
70.3;31.1;1.64881e-5
70.2;-148.6;1.87579e-4
70.2;28.1;4.11557e-5
70.1;28.5;1.75508e-5
70.0;20.9;4.12523e-5
70.0;24.9;5.12031e-5
70.0;29.7;1.39794e-4
69.9;-152.7;3.38585e-4
69.9;23.2;1.81594e-4
69.9;23.3;2.52763e-4
69.9;23.4;4.32167e-5
69.9;25.0;2.15440e-5
69.7;18.8;4.88201e-5
69.7;18.9;4.74676e-5
69.7;19.0;7.50979e-5
69.7;19.1;3.58100e-5
69.7;19.6;3.42964e-5
69.7;20.9;3.16236e-5
69.7;21.0;3.89015e-5
69.7;30.0;5.77683e-5
69.7;170.3;4.14839e-2
69.6;-170.0;9.10072e-4
69.6;18.7;4.09947e-5
69.6;18.8;1.18572e-4
69.6;18.9;6.40233e-4
69.6;19.0;7.64505e-5
69.6;29.9;5.20726e-5
69.6;30.0;1.62659e-4
69.5;19.0;2.36694e-5
69.5;88.3;3.24512e-2
69.4;-133.1;2.89276e-3
69.4;-93.9;6.54606e-4
69.4;25.5;7.56776e-5
69.3;-124.0;9.25823e-4
69.3;16.0;1.90643e-5
69.3;16.1;6.10573e-5
69.3;88.2;2.48095e-1
69.3;139.9;5.59693e-3
69.2;-81.8;9.04437e-4
69.2;-51.2;2.12461e-2
69.2;17.9;2.41846e-5
69.2;18.0;9.29707e-5
69.2;18.1;1.93541e-5
69.1;-105.1;1.83202e-3
69.1;18.1;5.08167e-5
69.0;-160.2;1.64224e-3
69.0;23.0;5.64845e-5
69.0;64.0;8.61812e-2
68.9;15.0;9.12318e-5
68.9;17.1;1.66169e-5
68.9;33.0;3.88151e-2
68.8;-51.2;5.15162e-3
68.8;15.2;1.61338e-5
68.8;16.5;1.50228e-4
68.7;-152.2;1.00169e-3
68.7;-81.4;8.95637e-4
68.7;-52.9;3.17356e-2
68.7;15.4;8.80114e-5
68.7;16.5;2.82873e-4
68.7;151.9;2.39221e-4
68.6;-96.0;9.78186e-4
68.6;14.4;7.88979e-6
68.6;15.3;4.17354e-5
68.6;15.4;6.90437e-5
68.5;-143.8;3.84572e-4
68.5;-90.1;5.70015e-4
68.5;14.8;3.79032e-5
68.5;14.9;9.09419e-5
68.5;16.5;5.36828e-5
68.5;17.5;1.15159e-4
68.5;17.6;3.63575e-5
68.4;14.8;1.52965e-5
68.4;15.9;3.03354e-5
68.4;16.0;6.98810e-6
68.4;16.8;6.79488e-6
68.4;17.4;4.29913e-5
68.3;-166.8;1.12228e-5
68.3;-133.8;9.63137e-5
68.3;-53.5;2.65020e-3
68.3;14.4;1.75830e-5
68.3;16.8;1.62626e-5
68.3;17.5;1.00410e-4
68.3;17.6;1.59309e-4
68.3;77.1;3.31121e-1
68.2;-135.1;1.98982e-3
68.2;14.4;2.72761e-5
68.2;14.5;9.73182e-5
68.1;13.5;4.89167e-5
68.1;13.6;1.47781e-4
68.1;13.8;4.06727e-5
68.0;-162.9;2.38740e-4
68.0;-133.9;1.99510e-2
67.9;32.8;4.05592e-3
67.8;-115.3;1.02113e-3
67.6;-163.8;9.01542e-5
67.6;53.0;2.83863e-3
67.5;-163.0;1.20072e-4
67.5;-160.6;1.16625e-4
67.5;-139.9;5.28405e-4
67.5;33.4;2.67289e+0
67.5;64.0;4.63414e-1
67.5;133.3;8.10476e-4
67.4;-134.9;2.30312e-3
67.4;-133.8;2.26932e-4
67.3;14.3;2.21558e-5
67.3;14.4;7.24895e-5
67.3;14.7;5.91895e-5
67.2;14.3;1.36284e-4
67.2;14.4;5.63725e-4
67.2;14.5;2.43199e-4
67.2;14.6;2.34762e-5
67.2;14.7;4.82726e-5
67.2;15.3;1.11488e-4
67.2;15.4;2.32185e-5
67.1;15.4;7.37454e-6
67.0;-126.1;1.70705e-4
67.0;-50.7;1.57941e-3
67.0;15.3;1.46525e-5
67.0;15.4;2.09965e-5
66.9;-53.7;2.73781e-2
66.9;13.6;1.83558e-5
66.8;-162.6;4.27413e-5
66.8;-160.5;5.22956e-4
66.7;-157.0;1.02236e-4
66.7;169.5;2.26889e-2
66.6;66.4;8.94872e-4
