Thursday 20th of October 2022 03:40:28 PM
Compound:BC; emissions_ds_name:v6.1_EM_AP_m_2000-2018(edgar_release) ; Year:2018; Month:May; Source name:10; Process Group:ENE
lat;lon;emission 2018 (tons)
77.4;-69.4;3.33538e-3
76.4;-82.9;2.90346e-4
76.2;60.9;2.43932e-3
74.6;-95.0;1.90932e-3
74.0;56.0;4.22091e-3
73.0;-85.2;6.53944e-4
72.7;-56.2;3.29029e-3
72.6;-78.0;1.24866e-3
72.0;-125.6;4.64776e-4
71.9;114.0;1.11932e-3
71.2;-156.8;4.77767e-3
71.0;27.8;2.11028e-5
70.9;27.3;2.83527e-5
70.8;29.0;2.37577e-5
70.8;29.1;6.43296e-6
70.7;-117.8;1.25028e-3
70.7;26.0;2.10348e-5
70.6;-160.1;1.69709e-3
70.6;23.6;7.15779e-2
70.6;23.7;6.55209e-5
70.6;29.7;6.46700e-5
70.4;-157.4;1.42244e-3
70.4;-68.6;7.08947e-4
70.4;-22.0;3.48479e-3
70.3;31.0;1.39891e-5
70.3;31.1;1.74269e-5
70.2;-148.6;1.92753e-4
70.2;28.1;4.34991e-5
70.1;28.5;1.85501e-5
70.0;20.9;4.36012e-5
70.0;24.9;5.41185e-5
70.0;29.7;1.47754e-4
69.9;-152.7;4.29363e-4
69.9;23.2;1.91934e-4
69.9;23.3;2.67155e-4
69.9;23.4;4.56774e-5
69.9;25.0;2.27706e-5
69.7;18.8;5.15998e-5
69.7;18.9;5.01703e-5
69.7;19.0;7.93739e-5
69.7;19.1;3.78489e-5
69.7;19.6;3.62492e-5
69.7;20.9;3.34242e-5
69.7;21.0;4.11165e-5
69.7;30.0;4.68521e-5
69.7;170.3;3.73755e-2
69.6;-170.0;1.00303e-3
69.6;18.7;4.33289e-5
69.6;18.8;1.25324e-4
69.6;18.9;6.76686e-4
69.6;19.0;8.08034e-5
69.6;29.9;5.50375e-5
69.6;30.0;1.71920e-4
69.5;19.0;2.50171e-5
69.5;88.3;3.26556e-2
69.4;-133.1;2.67210e-3
69.4;-93.9;6.04672e-4
69.4;25.5;7.99865e-5
69.3;-124.0;8.55201e-4
69.3;16.0;2.01498e-5
69.3;16.1;6.45338e-5
69.3;88.2;2.17789e-1
69.3;139.9;5.04263e-3
69.2;-81.8;8.35447e-4
69.2;-51.2;2.23921e-2
69.2;17.9;2.55617e-5
69.2;18.0;9.82643e-5
69.2;18.1;2.04561e-5
69.1;-105.1;1.69227e-3
69.1;18.1;5.37101e-5
69.0;-160.2;1.80998e-3
69.0;23.0;5.97006e-5
69.0;64.0;7.76462e-2
68.9;15.0;9.64263e-5
68.9;17.1;1.75630e-5
68.9;33.0;3.49710e-2
68.8;-51.2;5.42949e-3
68.8;15.2;1.70524e-5
68.8;16.5;1.58782e-4
68.7;-152.2;1.10400e-3
68.7;-81.4;8.27317e-4
68.7;-52.9;3.34474e-2
68.7;15.4;9.30226e-5
68.7;16.5;2.98979e-4
68.7;151.9;2.15529e-4
68.6;-96.0;9.03570e-4
68.6;14.4;8.33902e-6
68.6;15.3;4.41117e-5
68.6;15.4;7.29749e-5
68.5;-143.8;4.87679e-4
68.5;-90.1;5.26534e-4
68.5;14.8;4.00613e-5
68.5;14.9;9.61200e-5
68.5;16.5;5.67394e-5
68.5;17.5;1.21716e-4
68.5;17.6;3.84276e-5
68.4;14.8;1.61675e-5
68.4;15.9;3.20627e-5
68.4;16.0;7.38599e-6
68.4;16.8;7.18177e-6
68.4;17.4;4.54392e-5
68.3;-166.8;1.15324e-5
68.3;-133.8;8.89669e-5
68.3;-53.5;2.79314e-3
68.3;14.4;1.85841e-5
68.3;16.8;1.71886e-5
68.3;17.5;1.06127e-4
68.3;17.6;1.68380e-4
68.3;77.1;3.05165e-1
68.2;-135.1;1.83803e-3
68.2;14.4;2.88292e-5
68.2;14.5;1.02859e-4
68.1;13.5;5.17019e-5
68.1;13.6;1.56195e-4
68.1;13.8;4.29885e-5
68.0;-162.9;2.45326e-4
68.0;-133.9;1.84291e-2
67.9;32.8;4.08146e-3
67.8;-115.3;9.43241e-4
67.6;-163.8;1.14325e-4
67.6;53.0;2.55751e-3
67.5;-163.0;1.52265e-4
67.5;-160.6;1.47893e-4
67.5;-139.9;4.88098e-4
67.5;33.4;2.48487e+0
67.5;64.0;4.17658e-1
67.5;133.3;7.30211e-4
67.4;-134.9;2.12743e-3
67.4;-133.8;2.09622e-4
67.3;14.3;2.34173e-5
67.3;14.4;7.66169e-5
67.3;14.7;6.25597e-5
67.2;14.3;1.44044e-4
67.2;14.4;5.90867e-4
67.2;14.5;2.57046e-4
67.2;14.6;2.48128e-5
67.2;14.7;5.10212e-5
67.2;15.3;1.17835e-4
67.2;15.4;2.45405e-5
67.1;15.4;7.79443e-6
67.0;-126.1;1.57684e-4
67.0;-50.7;1.66460e-3
67.0;15.3;1.54868e-5
67.0;15.4;2.21920e-5
66.9;-53.7;2.88548e-2
66.9;13.6;1.94010e-5
66.8;-162.6;4.39204e-5
66.8;-160.5;5.76373e-4
66.7;-157.0;1.29647e-4
66.7;169.5;2.04419e-2
66.6;66.4;9.00507e-4
66.5;-160.2;2.47405e-4
66.5;-145.4;7.71540e-4
66.5;-86.3;5.07779e-4
66.5;-18.1;2.50252e-4
66.5;12.0;1.71205e-5
66.5;66.6;1.01462e+0
66.4;-16.0;3.99592e-5
66.3;-179.2;1.09440e-2
66.3;14.1;5.15283e-4
66.3;14.2;7.43705e-5
66.2;-160.3;1.67166e-3
66.2;-128.7;1.74536e-3
66.2;13.6;1.98435e-5
66.1;-65.8;1.01258e-3
66.1;-23.3;2.54088e-5
66.1;-19.0;4.35063e-5
66.1;13.8;2.33833e-5
66.0;-23.2;1.91326e-4
66.0;-17.4;1.03952e-4
66.0;12.6;1.58509e-4
66.0;13.8;4.54051e-5
66.0;60.1;2.32894e-2
66.0;76.6;1.84166e-2
66.0;76.9;5.07929e-2
65.9;-18.6;3.77875e-5
65.9;-18.4;9.59890e-5
65.9;12.2;2.66508e-5
65.9;57.5;2.66831e-1
65.9;78.3;1.84761e-2
65.8;13.1;4.45542e-5
65.8;13.2;2.37985e-4
65.8;24.1;5.14447e-5
65.7;-19.7;2.06311e-4
65.7;-18.2;2.26218e-4
65.7;-14.9;3.74980e-5
65.7;23.7;2.30380e-2
65.6;-37.7;3.80511e-3
65.6;-18.2;6.44632e-4
65.6;-18.1;1.76704e-4
65.5;-18.2;4.41578e-5
65.5;-18.1;2.94627e-5
65.5;13.9;1.71886e-5
65.5;22.1;3.01439e-2
65.4;-53.0;1.41135e-2
65.4;-21.0;4.02488e-5
65.4;12.2;8.60110e-5
65.4;12.5;2.21239e-5
65.3;-126.8;3.08913e-5
65.3;21.4;3.67263e-2
65.3;28.9;2.11064e-1
65.2;-126.9;8.93208e-4
65.2;-14.5;1.04676e-4
65.2;-14.4;1.14304e-4
65.2;-14.1;4.42302e-5
65.1;-123.5;1.64537e-3
65.1;-13.8;6.21105e-5
65.1;-13.7;9.15008e-5
65.1;57.2;5.92460e-2
65.0;-165.2;1.30762e-4
65.0;-22.8;3.63397e-5
65.0;-14.3;8.62164e-5
65.0;25.4;1.54739e-2
65.0;35.7;8.49739e-4
64.9;-161.2;1.08253e-4
64.9;-125.6;1.52505e-3
64.9;-23.7;1.30302e-5
64.9;-23.3;5.51611e-5
64.9;76.6;3.24142e-2
64.9;77.7;1.53719e+0
64.8;-147.8;1.20573e-1
64.8;11.2;9.54052e-5
64.8;11.5;2.77400e-5
64.8;11.6;3.07693e-5
64.8;30.1;8.84700e-2
64.8;45.7;2.12970e-3
64.7;-157.0;1.94124e-5
64.7;-147.4;5.39074e-2
64.7;-141.3;2.95537e-6
64.7;177.4;5.12375e-2
64.6;-162.3;9.42243e-5
64.6;-147.1;3.67419e-3
64.6;24.4;2.24410e-1
64.5;-165.5;1.11334e-4
64.5;-110.6;9.79660e-3
64.5;-22.0;1.51150e-4
64.5;-21.9;4.43750e-5
64.5;12.0;2.40981e-5
64.5;39.8;2.63818e-1
64.5;40.5;1.03088e+0
64.5;143.2;5.49674e-5
64.4;-50.8;6.72464e-3
64.4;11.5;2.96971e-4
64.4;12.3;2.04561e-5
64.4;40.8;3.35167e-1
64.3;-96.1;1.17680e-3
64.3;-22.1;4.78714e-4
64.2;-76.6;8.62842e-4
64.2;-20.8;3.92353e-5
64.1;-117.4;7.15377e-4
64.1;-83.2;4.26706e-4
64.1;-51.8;6.30422e-2
64.1;-22.1;2.60676e-4
64.1;-22.0;2.09931e-3
64.1;-21.9;6.02537e-3
64.1;-21.8;2.12928e-3
64.1;-21.7;3.12797e-4
64.1;-20.4;5.79843e-5
64.1;28.4;3.06287e-4
64.0;-145.8;1.53721e-4
64.0;-139.5;1.40084e-3
64.0;-22.8;7.74572e-5
64.0;-22.7;1.25596e-4
64.0;-22.6;5.26709e-4
64.0;-22.1;6.06627e-5
64.0;-22.0;2.63441e-3
64.0;-21.9;6.36886e-4
64.0;-21.3;3.67017e-5
64.0;-21.2;9.26591e-5
64.0;11.4;1.99183e-4
64.0;11.5;2.11369e-4
64.0;24.4;4.15395e-3
63.9;-22.6;4.31227e-4
63.9;-22.4;9.65681e-5
63.9;-21.1;2.13985e-4
63.9;-21.0;2.72258e-4
63.9;10.2;1.89585e-5
63.8;-160.8;7.83993e-6
63.8;-149.0;1.00257e-1
63.8;-22.5;1.87055e-4
63.8;-21.4;1.37758e-4
63.8;-20.4;8.93291e-5
63.8;11.2;3.35943e-5
63.8;11.3;3.75086e-5
63.7;-171.8;1.57133e-4
63.7;-68.6;3.29781e-3
63.7;-20.3;1.24945e-4
63.7;8.8;6.30022e-5
63.7;9.8;6.15045e-5
63.7;11.1;2.68891e-5
63.7;11.2;6.23555e-5
63.7;11.3;6.20151e-5
63.7;11.4;1.49524e-4
63.7;11.5;1.08237e-5
63.7;34.3;1.26473e-3
63.7;124.9;1.79991e-4
63.6;-170.5;4.30449e-6
63.6;9.0;1.78013e-5
63.6;9.6;6.56230e-5
63.6;10.6;4.94895e-5
63.6;11.0;3.16542e-5
63.6;26.6;6.06491e-4
63.5;-161.0;3.50835e-4
63.5;-135.9;7.35562e-4
63.5;8.3;2.38938e-5
63.5;8.9;2.35194e-5
63.5;9.9;3.51600e-5
63.5;29.1;4.22149e-5
63.5;53.6;4.17967e-1
63.4;-162.3;1.21235e-4
63.4;-162.1;1.44571e-4
63.4;-20.3;1.96032e-4
63.4;8.6;1.73588e-5
63.4;8.7;1.78013e-5
63.4;10.3;1.53089e-3
63.4;10.4;2.13506e-3
63.4;10.5;3.81757e-4
63.4;10.6;9.04018e-5
63.4;10.7;1.36726e-4
63.4;10.8;1.23554e-4
63.4;10.9;4.29681e-4
63.4;11.7;3.01566e-5
63.3;-143.0;1.03660e-3
63.3;-136.7;2.07825e-4
63.3;-90.9;5.90381e-4
63.3;9.1;1.91968e-5
63.3;9.8;2.02485e-4
63.3;10.0;7.52554e-5
63.3;10.1;1.09224e-4
63.3;10.2;1.42274e-5
63.3;10.3;2.25933e-3
63.3;10.4;5.92036e-4
63.3;14.8;1.86959e-1
63.3;19.1;4.44257e-3
63.3;22.3;1.27597e-4
63.3;27.4;5.35650e-4
63.2;-169.6;1.59727e-4
63.2;-154.3;2.38817e-4
63.2;-123.7;4.83692e-4
63.2;8.5;2.90334e-5
63.2;9.0;6.70866e-5
63.2;9.6;7.47449e-5
63.2;9.7;5.72499e-5
63.2;10.0;1.70524e-5
63.2;10.2;9.85026e-5
63.2;10.4;2.32812e-5
63.2;11.0;4.26141e-5
63.1;-117.3;1.83356e-3
63.1;-114.3;1.04217e-3
63.1;7.7;5.45746e-4
63.1;7.8;7.08306e-5
63.1;9.7;5.05106e-5
63.1;10.2;3.83255e-5
63.1;10.3;3.72363e-5
63.1;75.4;1.01574e-1
63.0;-145.8;1.01131e-4
63.0;-66.6;3.39723e-3
