Thursday 20th of October 2022 03:40:33 PM
Compound:BC; emissions_ds_name:v6.1_EM_AP_m_2000-2018(edgar_release) ; Year:2018; Month:Jun; Source name:10; Process Group:ENE
lat;lon;emission 2018 (tons)
77.4;-69.4;3.46064e-3
76.4;-82.9;2.51452e-4
76.2;60.9;2.22739e-3
74.6;-95.0;1.65356e-3
74.0;56.0;3.59457e-3
73.0;-85.2;5.66345e-4
72.7;-56.2;3.41385e-3
72.6;-78.0;1.08139e-3
72.0;-125.6;4.02516e-4
71.9;114.0;9.53222e-4
71.2;-156.8;5.15880e-3
71.0;27.8;2.24580e-5
70.9;27.3;3.01734e-5
70.8;29.0;2.52834e-5
70.8;29.1;6.84607e-6
70.7;-117.8;1.08280e-3
70.7;26.0;2.23856e-5
70.6;-160.1;1.70316e-3
70.6;23.6;8.32798e-2
70.6;23.7;6.97285e-5
70.6;29.7;6.88229e-5
70.4;-157.4;1.42753e-3
70.4;-68.6;6.13980e-4
70.4;-22.0;3.61565e-3
70.3;31.0;1.48875e-5
70.3;31.1;1.85460e-5
70.2;-148.6;1.86298e-4
70.2;28.1;4.62925e-5
70.1;28.5;1.97413e-5
70.0;20.9;4.64011e-5
70.0;24.9;5.75939e-5
70.0;29.7;1.57242e-4
69.9;-152.7;4.63615e-4
69.9;23.2;2.04259e-4
69.9;23.3;2.84311e-4
69.9;23.4;4.86107e-5
69.9;25.0;2.42329e-5
69.7;18.8;5.49134e-5
69.7;18.9;5.33921e-5
69.7;19.0;8.44711e-5
69.7;19.1;4.02795e-5
69.7;19.6;3.85771e-5
69.7;20.9;3.55706e-5
69.7;21.0;4.37569e-5
69.7;30.0;5.22152e-5
69.7;170.3;3.18294e-2
69.6;-170.0;1.00662e-3
69.6;18.7;4.61114e-5
69.6;18.8;1.33372e-4
69.6;18.9;7.20141e-4
69.6;19.0;8.59924e-5
69.6;29.9;5.85719e-5
69.6;30.0;1.82960e-4
69.5;19.0;2.66236e-5
69.5;88.3;2.98184e-2
69.4;-133.1;2.31415e-3
69.4;-93.9;5.23673e-4
69.4;25.5;8.51231e-5
69.3;-124.0;7.40642e-4
69.3;16.0;2.14438e-5
69.3;16.1;6.86780e-5
69.3;88.2;1.88852e-1
69.3;139.9;4.29437e-3
69.2;-81.8;7.23534e-4
69.2;-51.2;2.32330e-2
69.2;17.9;2.72032e-5
69.2;18.0;1.04575e-4
69.2;18.1;2.17698e-5
69.1;-105.1;1.46558e-3
69.1;18.1;5.71592e-5
69.0;-160.2;1.81645e-3
69.0;23.0;6.35344e-5
69.0;64.0;6.61244e-2
68.9;15.0;1.02619e-4
68.9;17.1;1.86909e-5
68.9;33.0;2.97818e-2
68.8;-51.2;5.63339e-3
68.8;15.2;1.81475e-5
68.8;16.5;1.68978e-4
68.7;-152.2;1.10795e-3
68.7;-81.4;7.16494e-4
68.7;-52.9;3.47034e-2
68.7;15.4;9.89963e-5
68.7;16.5;3.18179e-4
68.7;151.9;1.83547e-4
68.6;-96.0;7.82532e-4
68.6;14.4;8.87453e-6
68.6;15.3;4.69445e-5
68.6;15.4;7.76612e-5
68.5;-143.8;5.26583e-4
68.5;-90.1;4.56002e-4
68.5;14.8;4.26340e-5
68.5;14.9;1.02293e-4
68.5;16.5;6.03831e-5
68.5;17.5;1.29532e-4
68.5;17.6;4.08953e-5
68.4;14.8;1.72057e-5
68.4;15.9;3.41217e-5
68.4;16.0;7.86030e-6
68.4;16.8;7.64297e-6
68.4;17.4;4.83572e-5
68.3;-166.8;1.11462e-5
68.3;-133.8;7.70493e-5
68.3;-53.5;2.89804e-3
68.3;14.4;1.97775e-5
68.3;16.8;1.82924e-5
68.3;17.5;1.12942e-4
68.3;17.6;1.79193e-4
68.3;77.1;2.65504e-1
68.2;-135.1;1.59182e-3
68.2;14.4;3.06805e-5
68.2;14.5;1.09465e-4
68.1;13.5;5.50221e-5
68.1;13.6;1.66225e-4
68.1;13.8;4.57491e-5
68.0;-162.9;2.37110e-4
68.0;-133.9;1.59604e-2
67.9;32.8;3.72685e-3
67.8;-115.3;8.16889e-4
67.6;-163.8;1.23445e-4
67.6;53.0;2.17800e-3
67.5;-163.0;1.64411e-4
67.5;-160.6;1.59691e-4
67.5;-139.9;4.22715e-4
67.5;33.4;2.15793e+0
67.5;64.0;3.55764e-1
67.5;133.3;6.21856e-4
67.4;-134.9;1.84245e-3
67.4;-133.8;1.81542e-4
67.3;14.3;2.49211e-5
67.3;14.4;8.15370e-5
67.3;14.7;6.65771e-5
67.2;14.3;1.53294e-4
67.2;14.4;6.29637e-4
67.2;14.5;2.73553e-4
67.2;14.6;2.64063e-5
67.2;14.7;5.42977e-5
67.2;15.3;1.25403e-4
67.2;15.4;2.61165e-5
67.1;15.4;8.29497e-6
67.0;-126.1;1.36561e-4
67.0;-50.7;1.72712e-3
67.0;15.3;1.64813e-5
67.0;15.4;2.36171e-5
66.9;-53.7;2.99384e-2
66.9;13.6;2.06469e-5
66.8;-162.6;4.24495e-5
66.8;-160.5;5.78433e-4
66.7;-157.0;1.39989e-4
66.7;169.5;1.74086e-2
66.6;66.4;8.22269e-4
66.5;-160.2;2.67141e-4
66.5;-145.4;7.74298e-4
66.5;-86.3;4.39760e-4
66.5;-18.1;1.38447e-4
66.5;12.0;1.82200e-5
66.5;66.6;8.82704e-1
66.4;-16.0;2.21066e-5
66.3;-179.2;9.32001e-3
66.3;14.1;5.48374e-4
66.3;14.2;7.91464e-5
66.2;-160.3;1.80502e-3
66.2;-128.7;1.51156e-3
66.2;13.6;2.11178e-5
66.1;-65.8;8.76943e-4
66.1;-23.3;1.40569e-5
66.1;-19.0;2.40690e-5
66.1;13.8;2.48849e-5
66.0;-23.2;1.05848e-4
66.0;-17.4;5.75093e-5
66.0;12.6;1.68689e-4
66.0;13.8;4.83209e-5
66.0;60.1;1.98335e-2
66.0;76.6;1.59697e-2
66.0;76.9;4.40442e-2
65.9;-18.6;2.09052e-5
65.9;-18.4;5.31040e-5
65.9;12.2;2.83623e-5
65.9;57.5;2.32320e-1
65.9;78.3;1.68709e-2
65.8;13.1;4.74154e-5
65.8;13.2;2.53268e-4
65.8;24.1;4.33003e-5
65.7;-19.7;1.14138e-4
65.7;-18.2;1.25151e-4
65.7;-14.9;2.07450e-5
65.7;23.7;1.85323e-2
65.6;-37.7;3.94801e-3
65.6;-18.2;3.56630e-4
