Thursday 20th of October 2022 03:40:38 PM
Compound:BC; emissions_ds_name:v6.1_EM_AP_m_2000-2018(edgar_release) ; Year:2018; Month:Jul; Source name:10; Process Group:ENE
lat;lon;emission 2018 (tons)
77.4;-69.4;3.58316e-3
76.4;-82.9;2.74377e-4
76.2;60.9;2.77089e-3
74.6;-95.0;1.80431e-3
74.0;56.0;3.69982e-3
73.0;-85.2;6.17978e-4
72.7;-56.2;3.53472e-3
72.6;-78.0;1.17998e-3
72.0;-125.6;4.39213e-4
71.9;114.0;9.81132e-4
71.2;-156.8;4.94276e-3
71.0;27.8;2.29589e-5
70.9;27.3;3.08464e-5
70.8;29.0;2.58473e-5
70.8;29.1;6.99877e-6
70.7;-117.8;1.18152e-3
70.7;26.0;2.28849e-5
70.6;-160.1;2.06347e-3
70.6;23.6;1.13851e-1
70.6;23.7;7.12838e-5
70.6;29.7;7.03580e-5
70.4;-157.4;1.72953e-3
70.4;-68.6;6.69955e-4
70.4;-22.0;3.74366e-3
70.3;31.0;1.52195e-5
70.3;31.1;1.89596e-5
70.2;-148.6;2.11586e-4
70.2;28.1;4.73250e-5
70.1;28.5;2.01816e-5
70.0;20.9;4.74361e-5
70.0;24.9;5.88786e-5
70.0;29.7;1.60750e-4
69.9;-152.7;4.44200e-4
69.9;23.2;2.08815e-4
69.9;23.3;2.90653e-4
69.9;23.4;4.96950e-5
69.9;25.0;2.47734e-5
69.7;18.8;5.61383e-5
69.7;18.9;5.45830e-5
69.7;19.0;8.63552e-5
69.7;19.1;4.11780e-5
69.7;19.6;3.94375e-5
69.7;20.9;3.63640e-5
69.7;21.0;4.47329e-5
69.7;30.0;6.29473e-5
69.7;170.3;3.27614e-2
69.6;-170.0;1.21957e-3
69.6;18.7;4.71399e-5
69.6;18.8;1.36346e-4
69.6;18.9;7.36204e-4
69.6;19.0;8.79105e-5
69.6;29.9;5.98784e-5
69.6;30.0;1.87041e-4
69.5;19.0;2.72174e-5
69.5;88.3;3.70943e-2
