Thursday 20th of October 2022 03:40:43 PM
Compound:BC; emissions_ds_name:v6.1_EM_AP_m_2000-2018(edgar_release) ; Year:2018; Month:Aug; Source name:10; Process Group:ENE
lat;lon;emission 2018 (tons)
77.4;-69.4;3.15505e-3
76.4;-82.9;2.90047e-4
76.2;60.9;2.55718e-3
74.6;-95.0;1.90736e-3
74.0;56.0;3.96006e-3
73.0;-85.2;6.53272e-4
72.7;-56.2;3.11239e-3
72.6;-78.0;1.24738e-3
72.0;-125.6;4.64298e-4
71.9;114.0;1.05014e-3
71.2;-156.8;4.87571e-3
71.0;27.8;1.98958e-5
70.9;27.3;2.67310e-5
70.8;29.0;2.23988e-5
70.8;29.1;6.06502e-6
70.7;-117.8;1.24900e-3
70.7;26.0;1.98316e-5
70.6;-160.1;2.01529e-3
70.6;23.6;1.10775e-1
70.6;23.7;6.17733e-5
70.6;29.7;6.09711e-5
70.4;-157.4;1.68914e-3
70.4;-68.6;7.08219e-4
70.4;-22.0;3.29638e-3
70.3;31.0;1.31890e-5
70.3;31.1;1.64301e-5
70.2;-148.6;2.09354e-4
70.2;28.1;4.10111e-5
70.1;28.5;1.74891e-5
70.0;20.9;4.11073e-5
70.0;24.9;5.10231e-5
70.0;29.7;1.39303e-4
69.9;-152.7;4.38174e-4
69.9;23.2;1.80956e-4
69.9;23.3;2.51875e-4
69.9;23.4;4.30648e-5
69.9;25.0;2.14682e-5
69.7;18.8;4.86485e-5
69.7;18.9;4.73007e-5
69.7;19.0;7.48339e-5
69.7;19.1;3.56841e-5
69.7;19.6;3.41759e-5
69.7;20.9;3.15124e-5
69.7;21.0;3.87648e-5
69.7;30.0;5.85893e-5
69.7;170.3;3.50657e-2
69.6;-170.0;1.19109e-3
69.6;18.7;4.08506e-5
69.6;18.8;1.18155e-4
69.6;18.9;6.37982e-4
69.6;19.0;7.61817e-5
69.6;29.9;5.18896e-5
69.6;30.0;1.62087e-4
69.5;19.0;2.35862e-5
69.5;88.3;3.42334e-2
69.4;-133.1;2.66935e-3
69.4;-93.9;6.04051e-4
69.4;25.5;7.54116e-5
69.3;-124.0;8.54322e-4
69.3;16.0;1.89973e-5
69.3;16.1;6.08427e-5
69.3;88.2;1.90166e-1
69.3;139.9;4.73100e-3
69.2;-81.8;8.34589e-4
69.2;-51.2;2.11815e-2
69.2;17.9;2.40996e-5
69.2;18.0;9.26439e-5
69.2;18.1;1.92861e-5
69.1;-105.1;1.69054e-3
69.1;18.1;5.06381e-5
69.0;-160.2;2.14934e-3
69.0;23.0;5.62859e-5
69.0;64.0;7.28477e-2
68.9;15.0;9.09111e-5
68.9;17.1;1.65585e-5
68.9;33.0;3.28099e-2
68.8;-51.2;5.13594e-3
68.8;15.2;1.60771e-5
68.8;16.5;1.49700e-4
68.7;-152.2;1.31099e-3
68.7;-81.4;8.26468e-4
