Thursday 20th of October 2022 03:40:48 PM
Compound:BC; emissions_ds_name:v6.1_EM_AP_m_2000-2018(edgar_release) ; Year:2018; Month:Sep; Source name:10; Process Group:ENE
lat;lon;emission 2018 (tons)
77.4;-69.4;2.78202e-3
76.4;-82.9;2.81624e-4
76.2;60.9;2.65498e-3
74.6;-95.0;1.85197e-3
74.0;56.0;3.91816e-3
73.0;-85.2;6.34301e-4
72.7;-56.2;2.74440e-3
72.6;-78.0;1.21115e-3
72.0;-125.6;4.50815e-4
71.9;114.0;1.03903e-3
71.2;-156.8;4.49156e-3
71.0;27.8;1.78369e-5
70.9;27.3;2.39648e-5
70.8;29.0;2.00809e-5
70.8;29.1;5.43738e-6
70.7;-117.8;1.21273e-3
70.7;26.0;1.77794e-5
70.6;-160.1;1.90863e-3
70.6;23.6;1.02925e-1
70.6;23.7;5.53808e-5
70.6;29.7;5.46615e-5
70.4;-157.4;1.59975e-3
70.4;-68.6;6.87651e-4
70.4;-22.0;2.90663e-3
70.3;31.0;1.18242e-5
70.3;31.1;1.47298e-5
70.2;-148.6;1.95491e-4
70.2;28.1;3.67671e-5
70.1;28.5;1.56792e-5
70.0;20.9;3.68534e-5
70.0;24.9;4.57431e-5
70.0;29.7;1.24887e-4
69.9;-152.7;4.03651e-4
69.9;23.2;1.62230e-4
69.9;23.3;2.25810e-4
69.9;23.4;3.86083e-5
69.9;25.0;1.92466e-5
69.7;18.8;4.36141e-5
69.7;18.9;4.24058e-5
69.7;19.0;6.70898e-5
69.7;19.1;3.19914e-5
69.7;19.6;3.06392e-5
69.7;20.9;2.82514e-5
69.7;21.0;3.47532e-5
69.7;30.0;5.37235e-5
69.7;170.3;3.46948e-2
69.6;-170.0;1.12806e-3
69.6;18.7;3.66232e-5
69.6;18.8;1.05928e-4
69.6;18.9;5.71961e-4
69.6;19.0;6.82981e-5
69.6;29.9;4.65198e-5
69.6;30.0;1.45313e-4
69.5;19.0;2.11454e-5
69.5;88.3;3.55427e-2
69.4;-133.1;2.59183e-3
69.4;-93.9;5.86509e-4
69.4;25.5;6.76077e-5
69.3;-124.0;8.29512e-4
69.3;16.0;1.70314e-5
69.3;16.1;5.45465e-5
69.3;88.2;2.06461e-1
69.3;139.9;4.68095e-3
69.2;-81.8;8.10351e-4
69.2;-51.2;1.86771e-2
69.2;17.9;2.16057e-5
69.2;18.0;8.30568e-5
69.2;18.1;1.72903e-5
69.1;-105.1;1.64144e-3
69.1;18.1;4.53978e-5
69.0;-160.2;2.03560e-3
69.0;23.0;5.04612e-5
69.0;64.0;7.20771e-2
68.9;15.0;8.15032e-5
68.9;17.1;1.48449e-5
68.9;33.0;3.24628e-2
68.8;-51.2;4.52869e-3
68.8;15.2;1.44134e-5
68.8;16.5;1.34208e-4
68.7;-152.2;1.24161e-3
68.7;-81.4;8.02466e-4
68.7;-52.9;2.78982e-2
68.7;15.4;7.86263e-5
